,Unnamed: 0,video_id,title,categoryId,view_count,likes,dislikes,comment_count,duration
40676,73596,Cdsf75RB3LM,$800 Off-Road Tires vs. $1500 Off-Road Tires,Autos & Vehicles,1201196,60832,481,4167,1139
15233,28928,YIs8t3ro9Fw,2021 NEW YEAR’S EVE COUNTDOWN DRONE LIGHT SHOW in YEONGDONG-DAERO (SEOUL),Autos & Vehicles,2989797,21819,741,1586,307
20383,38289,oj9y7Okr4Fk,10 Winter Car TIPS & TRICKS you NEED to Know,Autos & Vehicles,1127094,59204,1346,7136,883
24990,46424,HwLvqvcWEos,GMC HUMMER EV SUV | THE NEXT ALL-ELECTRIC SUPERTRUCK | GMC,Autos & Vehicles,4062414,2510,253,414,92
36736,66300,BxWw8AO4ZmI,My Girlfriend is Kinda Odd,Comedy,9119281,660494,8168,45871,519
10318,20322,JlazW6xJMEM,It's taken me years to make this video...,Comedy,2344340,208325,6224,13081,995
43275,78993,R84W2hbmaKk,The Truth About Making Cartoons,Comedy,2607674,289124,1572,28746,578
26277,48769,Khsssa7xCR8,Try Guys Swap Mystery Cooking Boxes,Comedy,1579890,49904,486,2628,1831
28236,52126,QqsLTNkzvaY,The Ultimate Guide to Black Holes,Education,3787940,267104,1618,15935,735
11892,23156,gLZJlf5rHVs,What If Earth got Kicked Out of the Solar System? Rogue Earth,Education,4609870,284651,3335,22340,586
13707,26329,zTyZgOkWs4o,Antique Hand Cranked Hammer Drill - Restoration,Education,4784144,89414,2795,5998,1595
12803,24756,4b33NTAuF5E,Can You Upload Your Mind & Live Forever? feat. Cyberpunk 2077,Education,4115704,310889,4672,27504,838
5635,11653,JD-CsaaRpk4,"Customizing A $10,000,000 House",Entertainment,5063536,301667,6157,32913,781
18968,35699,_-wgA69ZVcU,Wedding Friends - SNL,Entertainment,1773268,24131,888,942,255
2445,5180,y34p0I3ULX4,What's Wrong With My Face,Entertainment,2833582,175175,1851,22434,1122
15010,28537,Nx1Jp2U23PM,Peeling Back The Past | NikkieTutorials: Layers Of Me,Entertainment,2373389,115869,2063,4056,993
45416,83587,cb1LWdUHxHs,Last Stand | Boruto: Naruto Next Generations,Film & Animation,4046726,108094,2029,9900,171
32102,58508,DmtvBzuv_Fw,We Just Made the BIGGEST Move Of Our Automotive Career...,Film & Animation,1279991,77944,896,7977,1953
35986,64972,TjbiHveOpGs,Friday Night Funkin' But It's Anime Garcello & BF │ FNF ANIMATION,Film & Animation,3976855,192490,2487,10552,192
29975,54925,sS6ksY8xWCY,The Green Knight | Official Trailer HD | A24,Film & Animation,2051191,49473,1335,4072,146
4571,9634,ddcz4b2XIyo,Minecraft Live: Introducing New Mobs!,Gaming,2667442,207283,2427,41751,61
